test1;test2;test3;test4;total_score;total_score_without_hw;final_score;d_campus;d_mothereduc_uni;d_derivation;time_slot_tuesday;time_slot_wednesday;time_slot_thursday;time_slot_friday;treatment_gain;treatment_loss;treatment_hybrid;homework_total;semester_tests;final_test;d_female;d_okt2;d_okt3;d_okt4;d_okt5;d_okt6;d_okt7;Group;female_loss;female_hybrid;macro_interest;macro_grade_goal;risk_pref;comp_pref;time_pref
15.5;11,5;12,5;8,5;92,75;82;84,25;0;1;1;1;0;0;0;0;1;0;10,75;39,5;34;1;1;0;0;0;0;0;2;1;0;3;5;7;7;12.000 forint
16;13;15,5;16;105;94;92;0;1;1;1;0;0;0;0;1;0;11;47,5;33,5;0;1;0;0;0;0;0;2;0;0;3;5;8;10;20.000 forint
9;15;14;11;84,17;74;75,17;0;0;0;1;0;0;0;0;1;0;10,17;40;25;1;1;0;0;0;0;0;2;1;0;3;5;8;8;20.000 forint
8;6;10;10;66,25;56;60,25;0;1;1;1;0;0;0;0;1;0;10,25;28;22;1;1;0;0;0;0;0;2;1;0;4;5;7;7;12.000 forint
7;14;14,5;6;80,58;69;74,58;0;0;1;1;0;0;0;0;1;0;11,58;35,5;27,5;1;1;0;0;0;0;0;2;1;0;3;5;7;7;12.000 forint
11;10;12;12,5;80,17;70,5;70,17;0;1;0;1;0;0;0;0;1;0;9,67;35,5;25;0;1;0;0;0;0;0;2;0;0;4;4;5;5;15.000 forint
14;15,5;12;12;92,5;81,5;80,5;0;0;1;1;0;0;0;0;1;0;11;41,5;28;1;1;0;0;0;0;0;2;1;0;4;5;6;7;15.000 forint
12;14,5;12;16;89,17;77,5;77,17;0;1;0;1;0;0;0;0;1;0;11,67;42,5;23;1;1;0;0;0;0;0;2;1;0;5;5;8;10;15.000 forint
7;12;11;14;73,25;62,5;66,25;0;1;0;1;0;0;0;0;1;0;10,75;37;18,5;1;1;0;0;0;0;0;2;1;0;3;5;7;4;15.000 forint
10;7;12;15;81,25;70,5;74,25;0;1;1;1;0;0;0;0;1;0;10,75;37;26,5;0;1;0;0;0;0;0;2;0;0;4;5;8;6;11.000 forint
8.5;13;12,5;12;86,67;75,5;78,17;0;1;0;1;0;0;0;0;1;0;11,17;37,5;29,5;1;1;0;0;0;0;0;2;1;0;4;4;7;8;12.000 forint
11;11;15;6;83;71;77;0;1;0;1;0;0;0;0;1;0;12;37;28;1;1;0;0;0;0;0;2;1;0;4;5;7;9;12.000 forint
14;10,5;14,5;11;85;73,5;74,5;0;1;1;1;0;0;0;0;1;0;11,5;39,5;23,5;1;1;0;0;0;0;0;2;1;0;3;5;10;8;20.000 forint
15.5;15,5;16;0;92;80,5;92;0;0;1;0;0;1;1;0;0;1;11,5;47;33,5;0;1;0;0;0;0;0;3;0;0;3;5;8;10;20.000 forint
15;16;15;11;101;89,5;90;0;1;1;0;0;1;1;0;0;1;11,5;46;32,5;1;1;0;0;0;0;0;3;0;1;2;5;5;7;11.000 forint
16;15;13,5;12;100,25;89;88,25;0;1;0;0;0;1;1;0;0;1;11,25;44,5;32,5;1;1;0;0;0;0;0;3;0;1;4;5;7;7;12.000 forint
16;16;15,5;0;90,5;78,5;90,5;0;1;1;0;0;1;1;0;0;1;12;47,5;31;1;1;0;0;0;0;0;3;0;1;3;5;3;8;15.000 forint
6;11;10;0;68,5;56,5;68,5;0;1;0;0;0;1;1;0;0;1;12;27;29,5;0;1;0;0;0;0;0;3;0;0;NA;5;10;4;20.000 forint
12.5;14;10,5;16;98,25;87;87,75;0;0;0;0;0;1;1;0;0;1;11,25;42,5;34;0;1;0;0;0;0;0;3;0;0;3;5;10;6;20.000 forint
8.5;11,5;7,5;15;72,75;62,5;65,25;0;1;1;0;0;1;1;0;0;1;10,25;35;20;0;1;0;0;0;0;0;3;0;0;3;5;7;10;15.000 forint
10;6;0;10;66,08;55,5;66,08;0;1;0;0;0;1;1;0;0;1;10,58;26;29,5;0;1;0;0;0;0;0;3;0;0;4;5;8;5;12.000 forint
11.5;13;14;16;98,5;88,5;87;0;1;0;0;0;1;1;0;0;1;10;43;34;0;1;0;0;0;0;0;3;0;0;5;5;7;6;11.000 forint
3.5;10;12,5;14,5;67,75;57,5;64,25;0;1;1;0;0;1;1;0;0;1;10,25;37;17;0;1;0;0;0;0;0;3;0;0;4;4;9;8;15.000 forint
13.5;11;13,5;16;97,5;86,5;86,5;0;1;0;0;0;1;1;0;0;1;11;43;32,5;1;1;0;0;0;0;0;3;0;1;3;5;4;6;12.000 forint
12;2;5,5;8,5;69,58;59;67,58;0;1;1;0;0;1;1;0;0;1;10,58;26;31;1;1;0;0;0;0;0;3;0;1;5;5;6;9;11.000 forint
13.5;14,5;4;16;91,83;80;87,83;0;1;1;0;0;1;1;0;0;1;11,83;44;32;0;1;0;0;0;0;0;3;0;0;NA;5;8;10;11.000 forint
13.5;13;10;15;98,75;87;88,75;0;0;1;0;0;1;1;0;0;1;11,75;41,5;35,5;1;1;0;0;0;0;0;3;0;1;5;5;6;6;11.000 forint
9.5;13,5;11,5;10;80;71;70,5;0;0;0;0;0;1;1;0;0;1;9;35;26,5;1;1;0;0;0;0;0;3;0;1;4;5;2;0;11.000 forint
6;7,5;7;9;68,25;57,5;62,25;0;1;1;1;0;0;0;0;0;1;10,75;23,5;28;0;0;0;1;0;0;0;5;0;0;4;5;7;8;15.000 forint
7;5,5;5;6,5;57,83;47,5;52,83;0;0;0;1;0;0;0;0;0;1;10,33;19;23,5;1;0;0;1;0;0;0;5;0;1;3;4;7;8;12.000 forint
11.5;8;5;6,5;75,5;64,5;70,5;0;1;0;1;0;0;0;0;0;1;11;26;33,5;0;0;0;1;0;0;0;5;0;0;4;5;8;9;12.000 forint
6;13;12;11,5;83,5;72;77,5;0;0;0;1;0;0;0;0;0;1;11,5;36,5;29,5;1;0;0;1;0;0;0;5;0;1;4;5;7;8;15.000 forint
5.5;4,5;0;0;60;50;60;0;1;1;1;0;0;0;0;0;1;10;10;40;0;0;0;1;0;0;0;5;0;0;4;5;10;7;11.000 forint
10;3;8;5,5;58,25;48;55,25;0;1;0;1;0;0;0;0;0;1;10,25;23,5;21,5;1;0;0;1;0;0;0;5;0;1;3;4;8;9;15.000 forint
1;5;0;0;55;46;55;0;1;0;1;0;0;0;0;0;1;9;6;40;1;0;0;1;0;0;0;5;0;1;4;4;6;6;15.000 forint
12.5;5;11,5;6;64,25;55;59,25;0;1;1;1;0;0;0;0;0;1;9,25;30;20;1;0;0;1;0;0;0;5;0;1;4;4;10;6;15.000 forint
12.5;6,5;10;11;78,75;68;72,25;0;1;0;1;0;0;0;0;0;1;10,75;33,5;28;1;0;0;1;0;0;0;5;0;1;3;3;5;8;20.000 forint
7.5;7;7,5;3;48,25;36,5;45,25;0;1;0;1;0;0;0;0;0;1;11,75;22;11,5;1;0;0;1;0;0;0;5;0;1;3;4;7;4;15.000 forint
